,jaccard,postprocess,fold,eval_mode,prr,subset,archi,species_loss,func_loss
0,0.18181818181818182,th05,1,interpolation,False,train,mlp1,bce,msle
1,0.3333333333333333,th05,1,interpolation,False,train,mlp1,bce,msle
2,0.288135593220339,th05,1,interpolation,False,train,mlp1,bce,msle
3,0.04878048780487805,th05,1,interpolation,False,train,mlp1,bce,msle
4,0.26666666666666666,th05,1,interpolation,False,train,mlp1,bce,msle
5,0.40425531914893614,th05,1,interpolation,False,train,mlp1,bce,msle
6,0.3888888888888889,th05,1,interpolation,False,train,mlp1,bce,msle
7,0.38235294117647056,th05,1,interpolation,False,train,mlp1,bce,msle
8,0.28125,th05,1,interpolation,False,train,mlp1,bce,msle
9,0.28205128205128205,th05,1,interpolation,False,train,mlp1,bce,msle
10,0.2777777777777778,th05,1,interpolation,False,train,mlp1,bce,msle
11,0.45588235294117646,th05,1,interpolation,False,train,mlp1,bce,msle
12,0.4230769230769231,th05,1,interpolation,False,train,mlp1,bce,msle
13,0.2608695652173913,th05,1,interpolation,False,train,mlp1,bce,msle
14,0.37777777777777777,th05,1,interpolation,False,train,mlp1,bce,msle
15,0.4358974358974359,th05,1,interpolation,False,train,mlp1,bce,msle
16,0.42857142857142855,th05,1,interpolation,False,train,mlp1,bce,msle
17,0.5,th05,1,interpolation,False,train,mlp1,bce,msle
18,0.3870967741935484,th05,1,interpolation,False,train,mlp1,bce,msle
19,0.5666666666666667,th05,1,interpolation,False,train,mlp1,bce,msle
20,0.5357142857142857,th05,1,interpolation,False,train,mlp1,bce,msle
21,0.16216216216216217,th05,1,interpolation,False,train,mlp1,bce,msle
22,0.41935483870967744,th05,1,interpolation,False,train,mlp1,bce,msle
23,0.37142857142857144,th05,1,interpolation,False,train,mlp1,bce,msle
24,0.21621621621621623,th05,1,interpolation,False,train,mlp1,bce,msle
25,0.3548387096774194,th05,1,interpolation,False,train,mlp1,bce,msle
26,0.2,th05,1,interpolation,False,train,mlp1,bce,msle
27,0.27586206896551724,th05,1,interpolation,False,train,mlp1,bce,msle
28,0.25,th05,1,interpolation,False,train,mlp1,bce,msle
29,0.41935483870967744,th05,1,interpolation,False,train,mlp1,bce,msle
30,0.21052631578947367,th05,1,interpolation,False,train,mlp1,bce,msle
31,0.125,th05,1,interpolation,False,train,mlp1,bce,msle
32,0.06896551724137931,th05,1,interpolation,False,train,mlp1,bce,msle
33,0.07142857142857142,th05,1,interpolation,False,train,mlp1,bce,msle
34,0.15625,th05,1,interpolation,False,train,mlp1,bce,msle
35,0.45454545454545453,th05,1,interpolation,False,train,mlp1,bce,msle
