,jaccard,postprocess,fold,eval_mode,prr,subset,archi,species_loss,func_loss
0,0.0,th05,3,extrapolation,False,train,mlp1,bce,msle
1,0.1891891891891892,th05,3,extrapolation,False,train,mlp1,bce,msle
2,0.24444444444444444,th05,3,extrapolation,False,train,mlp1,bce,msle
3,0.1282051282051282,th05,3,extrapolation,False,train,mlp1,bce,msle
4,0.12903225806451613,th05,3,extrapolation,False,train,mlp1,bce,msle
5,0.17543859649122806,th05,3,extrapolation,False,train,mlp1,bce,msle
6,0.038461538461538464,th05,3,extrapolation,False,train,mlp1,bce,msle
7,0.0,th05,3,extrapolation,False,train,mlp1,bce,msle
8,0.0,th05,3,extrapolation,False,train,mlp1,bce,msle
9,0.23076923076923078,th05,3,extrapolation,False,train,mlp1,bce,msle
10,0.0,th05,3,extrapolation,False,train,mlp1,bce,msle
11,0.06666666666666667,th05,3,extrapolation,False,train,mlp1,bce,msle
12,0.03571428571428571,th05,3,extrapolation,False,train,mlp1,bce,msle
13,0.0,th05,3,extrapolation,False,train,mlp1,bce,msle
14,0.0,th05,3,extrapolation,False,train,mlp1,bce,msle
15,0.0,th05,3,extrapolation,False,train,mlp1,bce,msle
16,0.12,th05,3,extrapolation,False,train,mlp1,bce,msle
17,0.125,th05,3,extrapolation,False,train,mlp1,bce,msle
18,0.17647058823529413,th05,3,extrapolation,False,train,mlp1,bce,msle
19,0.0,th05,3,extrapolation,False,train,mlp1,bce,msle
20,0.0,th05,3,extrapolation,False,train,mlp1,bce,msle
21,0.0,th05,3,extrapolation,False,train,mlp1,bce,msle
22,0.0,th05,3,extrapolation,False,train,mlp1,bce,msle
23,0.10526315789473684,th05,3,extrapolation,False,train,mlp1,bce,msle
24,0.041666666666666664,th05,3,extrapolation,False,train,mlp1,bce,msle
25,0.041666666666666664,th05,3,extrapolation,False,train,mlp1,bce,msle
26,0.0,th05,3,extrapolation,False,train,mlp1,bce,msle
27,0.06896551724137931,th05,3,extrapolation,False,train,mlp1,bce,msle
28,0.1,th05,3,extrapolation,False,train,mlp1,bce,msle
29,0.09090909090909091,th05,3,extrapolation,False,train,mlp1,bce,msle
30,0.0,th05,3,extrapolation,False,train,mlp1,bce,msle
31,0.19047619047619047,th05,3,extrapolation,False,train,mlp1,bce,msle
32,0.13333333333333333,th05,3,extrapolation,False,train,mlp1,bce,msle
33,0.11627906976744186,th05,3,extrapolation,False,train,mlp1,bce,msle
34,0.045454545454545456,th05,3,extrapolation,False,train,mlp1,bce,msle
35,0.0,th05,3,extrapolation,False,train,mlp1,bce,msle
36,0.12903225806451613,th05,3,extrapolation,False,train,mlp1,bce,msle
37,0.125,th05,3,extrapolation,False,train,mlp1,bce,msle
38,0.05,th05,3,extrapolation,False,train,mlp1,bce,msle
39,0.0,th05,3,extrapolation,False,train,mlp1,bce,msle
40,0.034482758620689655,th05,3,extrapolation,False,train,mlp1,bce,msle
