,index,r2,mse,pearson,pearson_pv,spearman,spearman_pv,postprocess,trait,indice,fold,subset,archi,species_loss,func_loss
0,richness,0.020827660181116037,95.62758008106707,0.3218370655363416,2.609930663210421e-28,0.340698111324171,9.918533793887664e-32,raw,,,1,test,sdm,sdm,sdm
1,LNC_cm,0.17764917903733668,2.6447888137247575,0.44703424501022626,6.253585493306464e-56,0.4366882951430252,3.585935736506283e-53,raw,LNC,cm,1,test,sdm,sdm,sdm
2,SLA_cm,0.623599291797031,3.882071157843628,0.8258206768208445,2.1311392221716843e-279,0.827865615411467,5.514255704263368e-282,raw,SLA,cm,1,test,sdm,sdm,sdm
3,PLH_cm,0.6841832004375754,30.47103268117721,0.8692663178949098,0.0,0.8696127069405551,0.0,raw,PLH,cm,1,test,sdm,sdm,sdm
4,LNC_cstd,-95.15706068369303,160.48458416700691,-0.06189548945807623,0.038698149993464236,-0.09687610861425956,0.001194051201611305,raw,LNC,cstd,1,test,sdm,sdm,sdm
5,SLA_cstd,-94.09060145303839,130.22174604012804,0.18390371578069628,6.032702418073435e-10,0.17192098501083697,7.47257033710527e-09,raw,SLA,cstd,1,test,sdm,sdm,sdm
6,PLH_cstd,-1.3256912934175356,67.36103908425049,0.6618578993372621,1.3683967620907245e-141,0.697531181213737,1.9143403390232858e-163,raw,PLH,cstd,1,test,sdm,sdm,sdm
7,average,-27.009584871242275,70.09897743217115,,,,,raw,,,1,test,sdm,sdm,sdm
8,weighted,-1.0473087825067922,,,,,,raw,,,1,test,sdm,sdm,sdm
9,richness,-450.2158922952665,44066.485663082436,0.16256251646169612,4.736304758530339e-08,0.1740905940560938,4.798537256053732e-09,opth,,,1,test,sdm,sdm,sdm
10,LNC_cm,-0.002650307814830777,3.2246557680602685,0.27769750213127403,3.290476828677076e-21,0.28717813361717887,1.2450201916280995e-22,opth,LNC,cm,1,test,sdm,sdm,sdm
11,SLA_cm,0.3074013555744436,7.143231037801853,0.7741248083428388,1.897949761338938e-223,0.7817469255060732,1.0168217920622268e-230,opth,SLA,cm,1,test,sdm,sdm,sdm
12,PLH_cm,0.3916117398828569,58.699279400460554,0.8377024943762887,6.311488237396571e-295,0.8364497046160905,3.132637991986574e-293,opth,PLH,cm,1,test,sdm,sdm,sdm
13,LNC_cstd,-0.09664456718711634,1.8302821040148325,0.20818905017757794,2.1530510692487047e-12,0.21181204628550723,8.724964042528736e-13,opth,LNC,cstd,1,test,sdm,sdm,sdm
