,index,r2,mse,pearson,pearson_pv,spearman,spearman_pv,postprocess,trait,indice,fold,subset,archi,species_loss,func_loss
0,richness,0.020827660181116037,95.62758008106707,0.32183706553634167,2.609930663210421e-28,0.340698111324171,9.918533793887664e-32,raw,,,1,test,sdm,sdm,sdm
1,LNC_cm,0.029944411834330387,3.1198268462459984,0.251161007539575,1.6243071719519477e-17,0.24577385846237507,8.128882146492629e-17,raw,LNC,cm,1,test,sdm,sdm,sdm
2,SLA_cm,0.3336100513345085,6.8729233054370615,0.7534480682310778,4.389193358224449e-205,0.7687795135749264,1.6189554260507656e-218,raw,SLA,cm,1,test,sdm,sdm,sdm
3,PLH_cm,0.32273639837465706,65.34459651130275,0.8039390459180085,1.1230233871062112e-253,0.8126390601933537,1.6980477038729062e-263,raw,PLH,cm,1,test,sdm,sdm,sdm
4,LNC_cstd,-108.14978247903011,182.16922739233678,-0.029844402442047016,0.3191995223120226,-0.05975677697336237,0.04595390064823933,raw,LNC,cstd,1,test,sdm,sdm,sdm
5,SLA_cstd,-110.43573853005074,152.60558058223012,0.17643891634288536,2.952265611214468e-09,0.1767124454914303,2.7886742394246937e-09,raw,SLA,cstd,1,test,sdm,sdm,sdm
6,PLH_cstd,-2.7155564645471544,107.61692445445577,0.5960194787997269,2.7381882336904174e-108,0.6301733128760402,1.470922676767002e-124,raw,PLH,cstd,1,test,sdm,sdm,sdm
7,average,-31.513422707414772,87.62237988186793,,,,,raw,,,1,test,sdm,sdm,sdm
8,weighted,-1.5590967863957113,,,,,,raw,,,1,test,sdm,sdm,sdm
9,richness,-791.454459700503,77392.40501792115,0.15344626949507328,2.592323246125547e-07,0.1578701582800381,1.1500013133711784e-07,opth,,,1,test,sdm,sdm,sdm
10,LNC_cm,-0.06388283509376325,3.421587660210431,0.20716280402050638,2.7725420128934615e-12,0.20787893256387294,2.324351485687352e-12,opth,LNC,cm,1,test,sdm,sdm,sdm
11,SLA_cm,0.14229312500101265,8.84610216918687,0.7441372824400834,2.1221117198056617e-197,0.7655314886887066,1.3831809562444715e-215,opth,SLA,cm,1,test,sdm,sdm,sdm
12,PLH_cm,0.14992192815337668,82.0182990413422,0.8251356056015621,1.5408391059196455e-278,0.834803996081598,5.033140817630154e-291,opth,PLH,cm,1,test,sdm,sdm,sdm
