,auc,prauc,sensitivity,specificity,precision,f1,support,species,tss,postprocess,fold,eval_mode,prr,archi,species_loss,func_loss
0,0.9013018468059341,0.2144466900078173,0.0,0.9990917347865577,0.9865470852017937,0.9927797833935018,15.0,Aceras.anthropophorum,-0.0009082652134423386,th05,2,interpolation,False,mlp1,bce,msle
1,0.8726724664224664,0.2594189596926583,0.16666666666666666,0.9954212454212454,0.98193315266486,0.988631195998181,24.0,Achillea.collina,0.16208791208791218,th05,2,interpolation,False,mlp1,bce,msle
2,0.7760283501278387,0.4710511334816512,0.3401639344262295,0.8967889908256881,0.8292682926829268,0.8617079889807162,244.0,Achillea.millefolium,0.23695292525191758,th05,2,interpolation,False,mlp1,bce,msle
3,0.9511123509310273,0.3831144894952583,0.0,1.0,0.9883512544802867,0.9941415051825147,13.0,Achillea.nana,0.0,th05,2,interpolation,False,mlp1,bce,msle
4,0.9463201272411799,0.5951250713610837,0.25,1.0,0.9646418857660924,0.9820027688047993,52.0,Achillea.roseo.alba,0.25,th05,2,interpolation,False,mlp1,bce,msle
5,0.9815978456014363,0.5232558139534884,0.0,1.0,0.9982078853046595,0.9991031390134529,2.0,Achnatherum.calamagrostis,0.0,th05,2,interpolation,False,mlp1,bce,msle
6,0.8687178150055407,0.30990716549552755,0.06896551724137931,0.995274102079395,0.9512195121951219,0.9727482678983834,58.0,Acinos.alpinus,0.06423961932077438,th05,2,interpolation,False,mlp1,bce,msle
7,0.8517045454545455,0.1304310372904417,0.0,1.0,0.985663082437276,0.9927797833935018,16.0,Acinos.arvensis,0.0,th05,2,interpolation,False,mlp1,bce,msle
8,0.8340827338129497,0.06400602409638553,0.0,1.0,0.996415770609319,0.9982046678635548,4.0,Aconitum.lycoctonum,0.0,th05,2,interpolation,False,mlp1,bce,msle
9,0.9686768676867687,0.2053762084909626,0.0,1.0,0.9955197132616488,0.9977548271216884,5.0,Cacalia.leucophylla,0.0,th05,2,interpolation,False,mlp1,bce,msle
10,0.8221048563699601,0.07180942994578328,0.0,1.0,0.9937275985663082,0.9968539325842697,7.0,Aegopodium.podagraria,0.0,th05,2,interpolation,False,mlp1,bce,msle
11,0.9155015197568388,0.3056864106987403,0.0,0.9990749306197965,0.968609865470852,0.9836065573770492,35.0,Agrimonia.eupatoria,-0.0009250693802035359,th05,2,interpolation,False,mlp1,bce,msle
12,0.9080113100848256,0.3302583095901884,0.2,0.9811498586239397,0.9594470046082949,0.9701770736253494,55.0,Agrostis.alpina,0.18114985862393973,th05,2,interpolation,False,mlp1,bce,msle
13,0.8370539884177096,0.35987368545874976,0.1320754716981132,0.9821782178217822,0.915129151291513,0.9474689589302769,106.0,Agrostis.capillaris,0.11425368951989534,th05,2,interpolation,False,mlp1,bce,msle
14,0.932743949222292,0.38325211128766784,0.09259259259259259,0.995291902071563,0.9556962025316456,0.9750922509225092,54.0,Agrostis.rupestris,0.08788449466415571,th05,2,interpolation,False,mlp1,bce,msle
15,0.883185717274566,0.07354731290288695,0.0,1.0,0.9883512544802867,0.9941415051825147,13.0,Agrostis.agrostiflora,0.0,th05,2,interpolation,False,mlp1,bce,msle
16,0.905437915862936,0.31262363812603466,0.09302325581395349,0.9962721342031687,0.9648014440433214,0.9802842732691426,43.0,Agrostis.stolonifera,0.08929539001712228,th05,2,interpolation,False,mlp1,bce,msle
17,0.9583707696915245,0.19544882173052708,0.0,1.0,0.9973118279569892,0.9986541049798116,3.0,Ajuga.chamaepitys,0.0,th05,2,interpolation,False,mlp1,bce,msle
18,0.8856624319419237,0.07156050454890833,0.0,1.0,0.9874551971326165,0.9936880072137061,14.0,Ajuga.genevensis,0.0,th05,2,interpolation,False,mlp1,bce,msle
19,0.8460646657220147,0.026692172193445794,0.0,1.0,0.9937275985663082,0.9968539325842697,7.0,Ajuga.pyramidalis,0.0,th05,2,interpolation,False,mlp1,bce,msle
20,0.8904792671007074,0.3343554440603258,0.10526315789473684,0.996222851746931,0.953887884267631,0.9745958429561201,57.0,Ajuga.reptans,0.10148600964166787,th05,2,interpolation,False,mlp1,bce,msle
21,0.9028852056476365,0.3740457679205171,0.0,1.0,0.9731182795698925,0.9863760217983651,30.0,Alchemilla.alpina,0.0,th05,2,interpolation,False,mlp1,bce,msle
22,0.8720585359494166,0.2784617973286025,0.1206896551724138,0.9905482041587902,0.9535941765241128,0.9717199814557256,58.0,Alchemilla.xanthochlora,0.111237859331204,th05,2,interpolation,False,mlp1,bce,msle
23,0.9223723723723725,0.06962072187072187,0.0,1.0,0.9946236559139785,0.9973045822102425,6.0,Allium.lusitanicum,0.0,th05,2,interpolation,False,mlp1,bce,msle
24,0.7926479468599034,0.08554277447323674,0.0,1.0,0.989247311827957,0.9945945945945946,12.0,Allium.oleraceum,0.0,th05,2,interpolation,False,mlp1,bce,msle
25,0.9209203754162881,0.253176942170346,0.06666666666666667,0.9990917347865577,0.9874326750448833,0.9932279909706546,15.0,Allium.schoenoprasum,0.06575840145322442,th05,2,interpolation,False,mlp1,bce,msle
26,0.9471471471471472,0.15517863362690948,0.0,1.0,0.9946236559139785,0.9973045822102425,6.0,Allium.scorodoprasum,0.0,th05,2,interpolation,False,mlp1,bce,msle
27,0.9020294583313343,0.2025282962609063,0.05263157894736842,0.9981768459434822,0.9838274932614556,0.9909502262443439,19.0,Allium.sphaerocephalon,0.05080842489085069,th05,2,interpolation,False,mlp1,bce,msle
28,0.7886126497488084,0.01725317580570155,0.0,1.0,0.9937275985663082,0.9968539325842697,7.0,Allium.vineale,0.0,th05,2,interpolation,False,mlp1,bce,msle
29,0.97875226039783,0.48036763277572103,0.0,1.0,0.9910394265232975,0.9954995499549955,10.0,Alopecurus.pratensis,0.0,th05,2,interpolation,False,mlp1,bce,msle
30,0.9258807789504979,0.4287846775655397,0.25806451612903225,0.9972350230414746,0.9791855203619909,0.9881278538812786,31.0,Alyssum.alyssoides,0.25529953917050685,th05,2,interpolation,False,mlp1,bce,msle
31,0.8772521596051007,0.08716632367202409,0.0,1.0,0.9901433691756273,0.995047276001801,11.0,Anacamptis.pyramidalis,0.0,th05,2,interpolation,False,mlp1,bce,msle
32,0.9221118137107297,0.07268317272726374,0.0,1.0,0.9919354838709677,0.9959514170040485,9.0,Androsace.obtusifolia,0.0,th05,2,interpolation,False,mlp1,bce,msle
33,0.9842625899280576,0.19124149659863945,0.0,1.0,0.996415770609319,0.9982046678635548,4.0,Angelica.sylvestris,0.0,th05,2,interpolation,False,mlp1,bce,msle
34,0.9390185703911194,0.4161098590257222,0.13333333333333333,0.9990662931839402,0.9648331830477908,0.981651376146789,45.0,Antennaria.carpatica,0.13239962651727355,th05,2,interpolation,False,mlp1,bce,msle
35,0.8646437650739847,0.2255550801406711,0.06896551724137931,0.9886578449905482,0.9509090909090909,0.969416126042632,58.0,Antennaria.dioica,0.057623362231927544,th05,2,interpolation,False,mlp1,bce,msle
36,0.9907823741007193,0.45357142857142857,0.25,0.9991007194244604,0.9973070017953322,0.9982030548068284,4.0,Anthemis.arvensis,0.24910071942446033,th05,2,interpolation,False,mlp1,bce,msle
37,0.9030982628986258,0.1821311723140908,0.0,1.0,0.9874551971326165,0.9936880072137061,14.0,Anthericum.liliago,0.0,th05,2,interpolation,False,mlp1,bce,msle
38,0.7336814419730964,0.48799157146331307,0.3282674772036474,0.8614993646759848,0.7541713014460512,0.8042704626334519,329.0,Anthoxanthum.odoratum,0.1897668418796321,th05,2,interpolation,False,mlp1,bce,msle
39,0.876807379092571,0.25646251934693187,0.13636363636363635,0.9990859232175503,0.9829136690647482,0.9909338168631007,22.0,Anthriscus.sylvestris,0.13544955958118665,th05,2,interpolation,False,mlp1,bce,msle
